,Remaining before pruning,Remaining after pruning,Valid accuracy,Pruning accuracy,Pruning threshold,problems
0,0.4949924051761627,0.4999174475669861,0.3058,0.0152,0.466619074344635,
1,0.48215895891189575,0.4999174475669861,0.4508,0.039,0.4534475803375244,
2,0.46457692980766296,0.4999174475669861,0.5312,0.1248,0.45421141386032104,
3,0.4605964720249176,0.4999174475669861,0.5614,0.203,0.44671395421028137,
4,0.4563811719417572,0.4999174475669861,0.6162,0.35,0.4362723231315613,
5,0.45068541169166565,0.4999174475669861,0.6304,0.3554,0.4249982237815857,
6,0.4462941586971283,0.4999174475669861,0.6364,0.3976,0.4202789068222046,
7,0.4429778456687927,0.4999174475669861,0.6676,0.4256,0.41275835037231445,
8,0.4411616921424866,0.4999174475669861,0.679,0.3574,0.41100674867630005,
9,0.43982386589050293,0.4999174475669861,0.682,0.3484,0.4047664999961853,
10,0.43896666169166565,0.4999174475669861,0.696,0.3002,0.40044736862182617,
11,0.43835732340812683,0.4999174475669861,0.6838,0.269,0.40143126249313354,
12,0.43824219703674316,0.4999174475669861,0.6994,0.2804,0.40830856561660767,
13,0.43816059827804565,0.4999174475669861,0.6998,0.238,0.4133679270744324,
14,0.43804723024368286,0.4999174475669861,0.7052,0.1518,0.4158005118370056,
15,0.42319124937057495,0.4999174475669861,0.6956,0.143,0.3408200144767761,
16,0.42047548294067383,0.4999174475669861,0.6988,0.0548,0.2768392562866211,
17,0.41875362396240234,0.4999174475669861,0.6962,0.0504,0.2305014729499817,
18,0.41786789894104004,0.4999174475669861,0.6958,0.0514,0.19766217470169067,
19,0.41732460260391235,0.4999174475669861,0.7058,0.0288,0.16919708251953125,
